Tēnā,t e: - n a:
Tērā,t e: - ɾ a:
Tiakina,t i - a - k i - n a
Tiamana,t i - a - m a - n a
Tika,t i - k a
Tikanga,t i - k a - ŋ a
Tino,t i - n o
Tiriti,t i - ɾ i - t i
Tirohia,t i - ɾ o - h i - a
Tiwha,t i - f a
Tī,t i:
Tīmata,t i: - m a - t a
Toi,t oi
Tohu,t o - h u
Tohunga,t o - h u - ŋ a
Tonga,t o - ŋ a
Tō,t o:
Tuatahi,t u - a - t a - h i
Tuhia,t u - h i - a
Tumu,t u - m u
Tumuaki,t u - m u - a - k i
Tupuna,t u - p u - n a
Ture,t u - ɾ e
tae,t ae
taea,t ae - a
taenga,t ae - ŋ a
taikaha,t ai - k a - h a
taima,t ai - m a
taina,t ai - n a
tairawhiti,t ai - ɾ a - f i - t i
taone,t ao - n e
taonga,t ao - ŋ a
taua,t au - a
tauira,t au - i - ɾ a
taumata,t au - m a - t a
tautohe,t au - t o - h e
tautoko,t au - t o - k o
tautokohia,t au - t o - k o - h i - a
taha,t a - h a
tahi,t a - h i
tahito,t a - h i - t o
tahu,t a - h u
tahua,t a - h u - a
tahuri,t a - h u - ɾ i
taka,t a - k a
takariri,t a - k a - ɾ i - ɾ i
takanga,t a - k a - ŋ a
takiwa,t a - k i - w a
takiwā,t a - k i - w a:
takoto,t a - k o - t o
tamariki,t a - m a - ɾ i - k i
tana,t a - n a
tapa,t a - p a
tapaina,t a - p ai - n a
tapu,t a - p u
taro,t a - ɾ o
tatau,t a - t au
tatou,t a - t ou
tawahi,t a - w a - h i
tangata,t a - ŋ a - t a
tangi,t a - ŋ i
tawhiti,t a - f i - t i
tawhito,t a - f i - t o
tā,t a:
tāia,t a:i - a
tāone,t a:o - n e
tākaro,t a: - k a - ɾ o
tāna,t a: - n a
tātou,t a: - t ou
tāwāhi,t a: - w a: - h i
tāngata,t a: - ŋ a - t a
te,t e
tei,t ei
teitei,t ei - t ei
tekau,t e - k au
tenei,t e - n ei
tere,t e - ɾ e
tetehi,t e - t e - h i
tēnā,t e: - n a:
tēnei,t e: - n ei
